kolha2701,AMRAVATI-CHANDURRHY-GP-kolha
lalkhed2701,AMRAVATI-CHANDURRHY-GP-lalkhed
malkhed2701,AMRAVATI-CHANDURRHY-GP-malkhed
manjarkheddana2701,AMRAVATI-CHANDURRHY-GP-manjarkheddana
manjarkhedkasba2701,AMRAVATI-CHANDURRHY-GP-manjarkhedkasba
mandva2701,AMRAVATI-CHANDURRHY-GP-mandva
nimbha2701,AMRAVATI-CHANDURRHY-GP-nimbha
nimgavhan2701,AMRAVATI-CHANDURRHY-GP-nimgavhan
palsakhed2701,AMRAVATI-CHANDURRHY-GP-palsakhed
pathargaon2701,AMRAVATI-CHANDURRHY-GP-pathargaon
rajna2701,AMRAVATI-CHANDURRHY-GP-rajna
rajura2701,AMRAVATI-CHANDURRHY-GP-rajura
satephl2701,AMRAVATI-CHANDURRHY-GP-satephl
savangabk2701,AMRAVATI-CHANDURRHY-GP-savangabk
savangavithoba2701,AMRAVATI-CHANDURRHY-GP-savangavithoba
savangamagarpur2701,AMRAVATI-CHANDURRHY-GP-savangamagarpur
savangisangam2701,AMRAVATI-CHANDURRHY-GP-savangisangam
supalwada2701,AMRAVATI-CHANDURRHY-GP-supalwada
sonarabk2701,AMRAVATI-CHANDURRHY-GP-sonarabk
sonagaon2701,AMRAVATI-CHANDURRHY-GP-sonagaon
shirajagaonkorade2701,AMRAVATI-CHANDURRHY-GP-shirajagaonkorade
titawa2701,AMRAVATI-CHANDURRHY-GP-titawa
tenbhrni2701,AMRAVATI-CHANDURRHY-GP-tenbhrni
tongalbad2701,AMRAVATI-CHANDURRHY-GP-tongalbad
waiboth2701,AMRAVATI-CHANDURRHY-GP-waiboth
yerad2701,AMRAVATI-CHANDURRHY-GP-yerad
asadpur2701,AMRAVATI-ACHALPUR-GP-asadpur
balegaon2701,AMRAVATI-ACHALPUR-GP-balegaon 
belkheda2701,AMRAVATI-ACHALPUR-GP-belkheda 
bhilona2701,AMRAVATI-ACHALPUR-GP-bhilona 
bhugaon2701,AMRAVATI-ACHALPUR-GP-bhugaon 
bopapur2701,AMRAVATI-ACHALPUR-GP-bopapur 
bordi2701,AMRAVATI-ACHALPUR-GP-bordi 
borgaondori2701,AMRAVATI-ACHALPUR-GP-borgaondori 
borgaonpeth2701,AMRAVATI-ACHALPUR-GP-borgaonpeth 
chamakbk2701,AMRAVATI-ACHALPUR-GP-chamakbk 
chamakkhurd2701,AMRAVATI-ACHALPUR-GP-chamakkhurd 
chawsala2701,AMRAVATI-ACHALPUR-GP-chawsala 
daryabad2701,AMRAVATI-ACHALPUR-GP-daryabad 
deomali2701,AMRAVATI-ACHALPUR-GP-deomali 
devgaon2701,AMRAVATI-ACHALPUR-GP-devgaon 
dhamangaongadi2701,AMRAVATI-ACHALPUR-GP-dhamangaongadi 
dhotharkheda2701,AMRAVATI-ACHALPUR-GP-dhotharkheda 
donoda2701,AMRAVATI-ACHALPUR-GP-donoda 
eklaspur2701,AMRAVATI-ACHALPUR-GP-eklaspur
gaulkheda2701,AMRAVATI-ACHALPUR-GP-gaulkheda 
ghodegaon2701,AMRAVATI-ACHALPUR-GP-ghodegaon 
